Elevation [m],p_mobilized [kN/m],p_max [kN/m]
0.0,0.20615955444911235,74.021164
-0.2,0.24126097452082224,69.10316
-0.2,0.24159823059231011,69.10316
-0.4,0.28269361625556444,67.4051
-0.4,0.2824800033846094,67.4051
-0.6,0.32984445377432886,67.746185
-0.6,0.3305589745862843,67.746185
-0.8,0.38373512349284045,69.53003
-0.8,0.3834284122122531,69.53003
-1.0,0.4428072779225885,72.43414
-1.0,0.44266480124722674,72.43414
-1.2,0.5083821292890068,76.27711
-1.2,0.5109329349470874,76.27711
-1.4,0.5813034575718564,80.955894
-1.4,0.5803081965685405,80.955894
-1.6,0.6606516636367633,86.41384
-1.6,0.6603110413850135,86.41384
-1.8,0.7427019601504882,92.62325
-1.8,0.7424855386656393,92.62325
-2.0,0.833275772456883,99.57545
-2.0,0.8327255064390593,99.57545
-2.2,0.9277589932694471,107.27477
-2.2,0.9301551909587542,107.27477
-2.4,1.0286957651385675,115.73489
-2.4,1.0284401592209875,115.73489
-2.6,1.1342723638166305,123.613365
-2.6,1.13494013855855,123.613365
-2.8,1.2442285930898371,123.613365
-2.8,1.2439723669248646,123.613365
-3.0,1.3580760369669953,123.613365
-3.0,1.3576862939955872,16.417217
-3.2,1.5087386643246612,18.755783
-3.2,1.5087876232973816,18.755783
-3.4,1.6668026727774097,21.35656
-3.4,1.666725978922665,21.35656
-3.6,1.8307775565900495,24.240288
-3.6,1.8307850621877324,24.240288
-3.8,2.0000104140454837,27.428768
-3.8,1.9999981906715205,27.428768
-4.0,2.173231159442082,30.944885
-4.0,2.1733335665705704,30.944885
-4.2,2.3493121953042992,34.812626
-4.2,2.349339139151165,34.812626
-4.4,2.5268442744823676,39.057106
-4.4,2.5268210900254733,39.057106
-4.6,2.7044213136155775,43.704594
-4.6,2.7044266631331575,43.704594
-4.8,2.8805214619339026,48.782536
-4.8,2.8805306207645596,48.782536
-5.0,3.0534460469909384,54.319572
-5.0,261.57461119867634,381.08942
-5.2,257.76920528700595,380.588
-5.2,257.76920528700595,380.588
-5.4,258.04452522792525,402.85046
-5.4,258.04452522792525,402.85046
-5.6,258.1009531516451,434.58887
-5.6,258.1009531516451,434.58887
-5.8,256.1210900998301,467.5295
-5.8,256.1210900998301,467.5295
-6.0,252.27830367351237,501.67242
-6.0,452.070205816103,585.64777
-6.2,456.463697761275,631.37024
-6.2,456.463697761275,631.37024
-6.4,456.0011888249625,678.8025
-6.4,456.0011888249625,678.8025
-6.6,450.9334333220286,727.9446
-6.6,450.9334333220286,727.9446
-6.8,441.6550821019225,778.7965
-6.8,441.6550821019225,778.7965
-7.0,428.65360283985206,831.3583
-7.0,428.65360283985206,831.3583
-7.2,412.46446901319644,885.6298
-7.2,412.46446901319644,885.6298
-7.4,393.63093706692916,941.61127
-7.4,393.63093706692916,941.61127
-7.6,372.6804537674314,999.3025
-7.6,372.6804537674314,999.3025
-7.8,350.10297183557657,1058.7036
-7.8,350.10297183557657,1058.7036
-8.0,326.341283528728,1119.8145
-8.0,326.341283528728,1119.8145
-8.2,301.7851225073566,1182.6353
-8.2,301.7851225073566,1182.6353
-8.4,276.77427669928494,1247.1658
-8.4,276.77427669928494,1247.1658
-8.6,251.6004265554389,1313.4062
-8.6,251.6004265554389,1313.4062
-8.8,226.51002408455423,1381.3564
-8.8,226.51002408455423,1381.3564
-9.0,201.71053089156496,1451.0165
-9.0,201.71053089156496,1451.0165
-9.2,177.37385319929143,1522.3864
-9.2,177.37385319929143,1522.3864
-9.4,153.64461432608414,1595.4661
-9.4,153.64461432608414,1595.4661
-9.6,130.63984607993387,1670.2556
-9.6,130.63984607993387,1670.2556
-9.8,108.45674609371436,1746.755
-9.8,108.45674609371436,1746.755
-10.0,87.17309036235524,1824.9642
-10.0,87.17309036235524,1824.9642
-10.2,66.85019582907148,1904.8833
-10.2,66.85019582907148,1904.8833
-10.4,47.53721309705982,1986.5121
-10.4,47.53721309705982,1986.5121
-10.6,29.270278748619642,2069.8508
-10.6,29.270278748619642,2069.8508
-10.8,12.076236425997461,2154.8994
-10.8,12.076236425997461,2154.8994
-11.0,4.027674266682384,2241.6577
-11.0,4.027674266682384,2241.6577
-11.2,19.032088872287254,2330.126
-11.2,19.032088872287254,2330.126
-11.4,32.93450704559346,2420.304
-11.4,32.93450704559346,2420.304
-11.6,45.739189060401436,2512.192
-11.6,45.739189060401436,2512.192
-11.8,57.45593931997489,2605.7896
-11.8,57.45593931997489,2605.7896
-12.0,68.09990466459655,2701.097
-12.0,80.45294178733545,2793.705
-12.2,91.78436106661468,2896.9666
-12.2,91.78436106661468,2896.9666
-12.4,101.90383707606036,3002.0952
-12.4,101.90383707606036,3002.0952
-12.6,110.84580614234658,3109.091
-12.6,110.84580614234658,3109.091
-12.8,118.64659165810164,3217.9539
-12.8,118.64659165810164,3217.9539
-13.0,125.34718458952987,3328.684
-13.0,125.34718458952987,3328.684
-13.2,130.9911514602992,3441.2812
-13.2,130.9911514602992,3441.2812
-13.4,135.62427170395713,3555.7456
-13.4,135.62427170395713,3555.7456
-13.6,139.29442077567185,3672.0774
-13.6,139.29442077567185,3672.0774
-13.8,142.05121638851136,3790.2761
-13.8,142.05121638851136,3790.2761
-14.0,143.94561868872228,3910.3418
-14.0,143.94561868872228,3910.3418
-14.2,145.02943730886614,4032.275
-14.2,145.02943730886614,4032.275
-14.4,145.35420536530623,4156.075
-14.4,145.35420536530623,4156.075
-14.6,144.97365006361773,4281.7427
-14.6,144.97365006361773,4281.7427
-14.8,143.94057927834933,4409.277
-14.8,143.94057927834933,4409.277
-15.0,142.30674048363596,4538.6787
-15.0,142.30674048363596,4538.6787
-15.2,140.12408938995796,4669.9473
-15.2,140.12408938995796,4669.9473
-15.4,137.4445006965612,4803.0835
-15.4,137.4445006965612,4803.0835
-15.6,134.3172253551269,4938.0864
-15.6,134.3172253551269,4938.0864
-15.8,130.79148039196514,5074.957
-15.8,130.79148039196514,5074.957
-16.0,126.9154832073981,5213.6943
-16.0,126.9154832073981,5213.6943
-16.2,122.73416687677836,5354.299
-16.2,122.73416687677836,5354.299
-16.4,118.29277385622467,5496.7705
-16.4,118.29277385622467,5496.7705
-16.6,113.63427835884322,5641.1094
-16.6,113.63427835884322,5641.1094
-16.8,108.79833870858538,5787.3154
-16.8,108.79833870858538,5787.3154
-17.0,103.82487526485197,5935.3887
-17.0,103.82487526485197,5935.3887
-17.2,98.7509047388898,6085.329
-17.2,98.7509047388898,6085.329
-17.4,93.6105287515852,6237.1367
-17.4,93.6105287515852,6237.1367
-17.6,88.43725746076107,6390.811
-17.6,88.43725746076107,6390.811
-17.8,83.26207996853287,6546.353
-17.8,83.26207996853287,6546.353
-18.0,78.11357694404484,6703.762
-18.0,91.35546686338458,6928.0024
-18.2,85.4002746502887,7107.4478
-18.2,85.4002746502887,7107.4478
-18.4,79.54193997820187,7289.1875
-18.4,79.54193997820187,7289.1875
-18.6,73.80696405076891,7473.2217
-18.6,73.80696405076891,7473.2217
-18.8,68.21829866225579,7659.55
-18.8,68.21829866225579,7659.55
-19.0,62.796238757315066,7848.1724
-19.0,62.796238757315066,7848.1724
-19.2,57.55806847584215,8039.089
-19.2,57.55806847584215,8039.089
-19.4,52.51947356487691,8232.3
-19.4,52.51947356487691,8232.3
-19.6,47.693313730791985,8427.805
-19.6,47.693313730791985,8427.805
-19.8,43.09019872854225,8625.604
-19.8,43.09019872854225,8625.604
-20.0,38.71858749163876,8825.696
-20.0,38.71858749163876,8825.696
-20.2,34.58486082770014,9028.084
-20.2,34.58486082770014,9028.084
-20.4,30.69349971305479,9232.766
-20.4,30.69349971305479,9232.766
-20.6,27.047339938447788,9439.742
-20.6,27.047339938447788,9439.742
-20.8,23.64744765783645,9649.012
-20.8,23.64744765783645,9649.012
-21.0,20.493325029548267,9860.576
-21.0,20.493325029548267,9860.576
-21.2,17.583038056199207,10074.435
-21.2,17.583038056199207,10074.435
-21.4,14.913307503685646,10290.587
-21.4,14.913307503685646,10290.587
-21.6,12.47963425374009,10509.034
-21.6,12.47963425374009,10509.034
-21.8,10.276386504687826,10729.775
-21.8,10.276386504687826,10729.775
-22.0,8.296901594638927,10952.811
-22.0,8.296901594638927,10952.811
-22.2,6.533567350841703,11178.14
-22.2,6.533567350841703,11178.14
-22.4,4.977912375373273,11405.764
-22.4,4.977912375373273,11405.764
-22.6,3.620678625930804,11635.682
-22.6,3.620678625930804,11635.682
-22.8,2.4518896452928773,11867.894
-22.8,2.4518896452928773,11867.894
-23.0,1.4609133801559924,12102.399
-23.0,1.4609133801559924,12102.399
-23.2,0.6365170873088194,12339.2
-23.2,0.6365170873088194,12339.2
-23.4,0.03308590123451573,12578.294
-23.4,0.03308590123451573,12578.294
-23.6,0.5601953251803629,12819.684
-23.6,0.5601953251803629,12819.684
-23.8,0.9575910597273708,13063.366
-23.8,0.9575910597273708,13063.366
-24.0,1.2385068804644856,13309.344
-24.0,19.64956696597507,3456.0
-24.2,22.386897199870642,3456.0
-24.2,22.386897199870642,3456.0
-24.4,23.897248593917617,3456.0
-24.4,23.897248593917617,3456.0
-24.6,24.426570612384737,3456.0
-24.6,24.426570612384737,3456.0
-24.8,24.189400066881177,3456.0
-24.8,24.189400066881177,3456.0
-25.0,23.370510163041995,3456.0
-25.0,23.370510163041995,3456.0
-25.2,22.126959417251175,3456.0
-25.2,22.126959417251175,3456.0
-25.4,20.59039317632606,3456.0
-25.4,20.59039317632606,3456.0
-25.6,18.869478119122384,3456.0
-25.6,18.869478119122384,3456.0
-25.8,17.052374490241377,3456.0
-25.8,17.052374490241377,3456.0
-26.0,15.209172033676111,3456.0
-26.0,15.209172033676111,3456.0
-26.2,13.39423383467698,3456.0
-26.2,13.39423383467698,3456.0
-26.4,11.648407755295906,3456.0
-26.4,11.648407755295906,3456.0
-26.6,10.001078100126398,3456.0
-26.6,10.001078100126398,3456.0
-26.8,8.472040822324738,3456.0
-26.8,8.472040822324738,3456.0
-27.0,7.073194226927718,3456.0
-27.0,7.073194226927718,3456.0
-27.2,5.810043994654501,3456.0
-27.2,5.810043994654501,3456.0
-27.4,4.683026670290567,3456.0
-27.4,4.683026670290567,3456.0
-27.6,3.688659756634678,3456.0
-27.6,3.688659756634678,3456.0
-27.8,2.8205294321757552,3456.0
-27.8,2.8205294321757552,3456.0
-28.0,2.070128853990166,3456.0
-28.0,2.070128853990166,3456.0
-28.2,1.4275611833856716,3456.0
-28.2,1.4275611833856716,3456.0
-28.4,0.8821220277643635,3456.0
-28.4,0.8821220277643635,3456.0
-28.6,0.42277605625875336,3456.0
-28.6,0.42277605625875336,3456.0
-28.8,0.038542228924735696,3456.0
-28.8,0.038542228924735696,3456.0
-29.0,0.28119852750942737,3456.0
-29.0,0.28119852750942737,3456.0
-29.2,0.5464601832656418,3456.0
-29.2,0.5464601832656418,3456.0
-29.4,0.766460963288703,3456.0
-29.4,0.766460963288703,3456.0
-29.6,0.9494742237962481,3456.0
-29.6,0.9494742237962481,3456.0
-29.8,1.102711006081386,3456.0
-29.8,1.102711006081386,3456.0
-30.0,1.232225597484254,3456.0
-30.0,0.12920011328389833,17070.12
-30.2,0.14113517276139578,17385.99
-30.2,0.14113517276139578,17385.99
-30.4,0.15035599636693917,17704.6
-30.4,0.15035599636693917,17704.6
-30.6,0.15711443749029935,18025.947
-30.6,0.15711443749029935,18025.947
-30.8,0.16165329188662073,18350.033
-30.8,0.16165329188662073,18350.033
-31.0,0.16420514355511043,18676.86
-31.0,0.16420514355511043,18676.86
-31.2,0.16499179678060155,19006.424
-31.2,0.16499179678060155,19006.424
-31.4,0.16422353889342312,19338.729
-31.4,0.16422353889342312,19338.729
-31.6,0.1620986680009128,19673.77
-31.6,0.1620986680009128,19673.77
-31.8,0.15880339570868104,20011.55
-31.8,0.15880339570868104,20011.55
-32.0,0.15451150353577453,20352.072
-32.0,0.15451150353577453,20352.072
-32.2,0.14938435702340502,20695.332
-32.2,0.14938435702340502,20695.332
-32.4,0.1435710984700796,21041.33
-32.4,0.1435710984700796,21041.33
-32.6,0.13720863444599554,21390.066
-32.6,0.13720863444599554,21390.066
-32.8,0.13042207387385094,21741.543
-32.8,0.13042207387385094,21741.543
-33.0,0.12332492280739239,22095.758
-33.0,0.12332492280739239,22095.758
-33.2,0.11601956449639167,22452.71
-33.2,0.11601956449639167,22452.71
-33.4,0.10859761888196229,22812.404
-33.4,0.10859761888196229,22812.404
-33.6,0.10114051810736256,23174.836
-33.6,0.10114051810736256,23174.836
-33.8,0.0937199576413865,23540.006
-33.8,0.0937199576413865,23540.006
-34.0,0.0863984373183609,23907.916
-34.0,0.0863984373183609,23907.916
-34.2,0.07922984928698809,24278.562
-34.2,0.07922984928698809,24278.562
-34.4,0.07226001663768189,24651.951
-34.4,0.07226001663768189,24651.951
-34.6,0.0655272963167897,25028.076
-34.6,0.0655272963167897,25028.076
-34.8,0.05906309370852217,25406.941
-34.8,0.05906309370852217,25406.941
-35.0,0.05289249460498841,25788.545
-35.0,0.05289249460498841,25788.545
-35.2,0.04703475151174894,26172.889
-35.2,0.04703475151174894,26172.889
-35.4,0.04150385097772572,26559.97
-35.4,0.04150385097772572,26559.97
-35.6,0.03630905019872518,26949.791
-35.6,0.03630905019872518,26949.791
-35.8,0.03145534771461323,27342.35
-35.8,0.03145534771461323,27342.35
-36.0,0.02694397255169361,27737.648
-36.0,0.02694397255169361,27737.648
-36.2,0.02277284737558412,28135.686
-36.2,0.02277284737558412,28135.686
-36.4,0.01893700117548737,28536.463
-36.4,0.01893700117548737,28536.463
-36.6,0.015428990599200517,28939.977
-36.6,0.015428990599200517,28939.977
-36.8,0.012239265199824769,29346.23
-36.8,0.012239265199824769,29346.23
-37.0,0.009356521849000385,29755.225
-37.0,0.009356521849000385,29755.225
-37.2,0.006768026648183149,30166.957
-37.2,0.006768026648183149,30166.957
-37.4,0.0044599148066018345,30581.428
-37.4,0.0044599148066018345,30581.428
-37.6,0.0024174596217887375,30998.637
-37.6,0.0024174596217887375,30998.637
-37.8,0.0006253193190575644,31418.586
-37.8,0.0006253193190575644,31418.586
-38.0,0.0009322426282436259,31841.273
-38.0,0.0009322426282436259,31841.273
-38.2,0.0022711598445057197,32266.7
-38.2,0.0022711598445057197,32266.7
-38.4,0.0034073876904619875,32694.865
-38.4,0.0034073876904619875,32694.865
-38.6,0.004356750648179079,33125.77
-38.6,0.004356750648179079,33125.77
-38.8,0.005134809756154432,33559.41
-38.8,0.005134809756154432,33559.41
-39.0,0.005756744840008849,33995.793
-39.0,0.005756744840008849,33995.793
-39.2,0.006237265166889216,34434.914
-39.2,0.006237265166889216,34434.914
-39.4,0.006590522723856242,34876.773
-39.4,0.006590522723856242,34876.773
-39.6,0.0068300531983508765,35321.375
-39.6,0.0068300531983508765,35321.375
-39.8,0.006968720515671397,35768.71
-39.8,0.006968720515671397,35768.71
-40.0,0.007018684687410569,36218.79
-40.0,0.007018684687410569,36218.79
-40.2,0.0069913702300969886,36671.6
-40.2,0.0069913702300969886,36671.6
-40.4,0.006897454486216452,37127.156
-40.4,0.006897454486216452,37127.156
-40.6,0.006746858580351638,37585.45
-40.6,0.006746858580351638,37585.45
-40.8,0.006548747347142007,38046.484
-40.8,0.006548747347142007,38046.484
-41.0,0.006311542241153975,38510.254
-41.0,0.006311542241153975,38510.254
-41.2,0.006042931768688801,38976.76
-41.2,0.006042931768688801,38976.76
-41.4,0.0057498934349340435,39446.01
-41.4,0.0057498934349340435,39446.01
-41.6,0.0054387164975441184,39918.0
-41.6,0.0054387164975441184,39918.0
-41.8,0.0051150312327878375,40392.727
-41.8,0.0051150312327878375,40392.727
-42.0,0.00478383896901322,40870.19
-42.0,0.00478383896901322,40870.19
-42.2,0.0044495420387157284,41350.4
-42.2,0.0044495420387157284,41350.4
-42.4,0.004115983693628173,41833.34
-42.4,0.004115983693628173,41833.34
-42.6,0.003786477733315718,42319.023
-42.6,0.003786477733315718,42319.023
-42.8,0.003463848873569849,42807.445
-42.8,0.003463848873569849,42807.445
-43.0,0.003150465851232479,43298.605
-43.0,0.003150465851232479,43298.605
-43.2,0.0028482782895090557,43792.504
-43.2,0.0028482782895090557,43792.504
-43.4,0.0025588529015131674,44289.14
-43.4,0.0025588529015131674,44289.14
-43.6,0.0022834064374178033,44788.516
-43.6,0.0022834064374178033,44788.516
-43.8,0.002022839480147952,45290.633
-43.8,0.002022839480147952,45290.633
-44.0,0.0017777693738590392,45795.49
-44.0,0.0017777693738590392,45795.49
-44.2,0.0015485599479483849,46303.082
-44.2,0.0015485599479483849,46303.082
-44.4,0.0013353509172033568,46813.414
-44.4,0.0013353509172033568,46813.414
-44.6,0.0011380853734728066,47326.484
-44.6,0.0011380853734728066,47326.484
-44.8,0.0009565359390169257,47842.297
-44.8,0.0009565359390169257,47842.297
-45.0,0.0007903283122316271,48360.844
-45.0,0.0007903283122316271,48360.844
-45.2,0.0006389637277980853,48882.133
-45.2,0.0006389637277980853,48882.133
-45.4,0.0005018401312245118,49406.16
-45.4,0.0005018401312245118,49406.16
-45.6,0.0003782702440163872,49932.926
-45.6,0.0003782702440163872,49932.926
-45.8,0.0002674996409235677,50462.43
-45.8,0.0002674996409235677,50462.43
-46.0,0.00016872192763059876,50994.676
-46.0,0.00016872192763059876,50994.676
-46.2,8.109315288156208e-05,51529.656
-46.2,8.109315288156208e-05,51529.656
-46.4,3.7445164462914853e-06,52067.38
-46.4,3.7445164462914853e-06,52067.38
-46.6,6.420621071439195e-05,52607.84
-46.6,6.420621071439195e-05,52607.84
-46.8,0.0001236445466584804,53151.04
-46.8,0.0001236445466584804,53151.04
-47.0,0.00017545026733180186,53696.977
-47.0,0.00017545026733180186,53696.977
-47.2,0.00022048945361290007,54245.652
-47.2,0.00022048945361290007,54245.652
-47.4,0.00025960743516760244,54797.07
-47.4,0.00025960743516760244,54797.07
-47.6,0.00029362253749156027,55351.223
-47.6,0.00029362253749156027,55351.223
-47.8,0.0003233207008247701,55908.117
-47.8,0.0003233207008247701,55908.117
-48.0,0.0003494505049559337,56467.75
-48.0,0.0003494505049559337,56467.75
-48.2,0.00037271873605643826,57030.12
-48.2,0.00037271873605643826,57030.12
-48.4,0.0003937865404421485,57595.234
-48.4,0.0003937865404421485,57595.234
-48.6,0.00041326552183338245,58163.082
-48.6,0.00041326552183338245,58163.082
-48.8,0.0004317145386151933,58733.67
-48.8,0.0004317145386151933,58733.67
-49.0,0.0004496359569361334,59306.996
-49.0,0.0004496359569361334,59306.996
-49.2,0.00046747257339684696,59883.062
-49.2,0.00046747257339684696,59883.062
-49.4,0.00048560399320495934,60461.867
-49.4,0.00048560399320495934,60461.867
-49.6,0.0005043430632915583,61043.414
-49.6,0.0005043430632915583,61043.414
-49.8,0.0005239321152462191,61627.695
-49.8,0.0005239321152462191,61627.695
-49.8,0.0005260362301397619,62214.72
